Station,Date,Calday,Year,Month,Season,Latitude,Longitude,Zone,Frame,Vis,FOV.Bias,Habitat,Depth,Time.In,Time.Out,Total.bott,Time.secs.,Algae,Pebble,Gravel,Sand,Mud,Seagrass,mean_velocity,dist,site_heterogeneity
SA.F1.160914.C4.6,16/09/2014,259,2014,September,Late,55.4195,-5.203,4,1,1,2,Mud,39.9,10:16,11:23,01:07,4020,0,0,0,0,0.58,0,0.151532456,1586.259066,1
SA.F1.160914.C4.7,16/09/2014,259,2014,September,Late,55.41601667,-5.18005,4,1,1,2,Mud,41.3,11:34,12:36,01:02,3720,0,0,0,0,0.54,0,0.179096028,2004.96497,1
SA.F1.170914.C2.12,17/09/2014,260,2014,September,Late,55.50741667,-5.07,2,1,2,2,Sand,31.5,13:09,14:09,01:00,3600,0.04,0.18,0.08,0.28,0,0,0.090877824,414.2455947,4
SA.F1.170914.C2.3,17/09/2014,260,2014,September,Late,55.47201667,-5.0816,2,1,3,3,Seagrass,5.6,08:49,09:59,01:10,4200,0,0,0,0.15,0,0.68,0.058231048,183.3955053,2
SA.F1.170914.C2.7,17/09/2014,260,2014,September,Late,55.48806667,-5.089866667,2,1,3,3,Sand,5.2,11:31,12:38,01:07,4020,0.05,0,0,0.73,0,0.06,0.037896957,166.4484415,3
SA.F1.180914.C1.1,18/09/2014,261,2014,September,Late,55.56518333,-5.083266667,1,1,1,2,Mud,37.2,08:05,09:07,01:02,3720,0,0,0,0,0.5,0,0.119766273,852.9443179,1
SA.F1.180914.C1.10,18/09/2014,261,2014,September,Late,55.53855,-5.0832,1,1,1,1,Mud,46,12:22,13:23,01:01,3660,0,0,0,0,0.44,0,0.086809486,139.5167318,1
SA.F1.180914.C1.5,18/09/2014,261,2014,September,Late,55.54628333,-5.0853,1,1,1,3,Algae,6.1,09:33,10:39,01:06,3960,0.84,0,0,0,0,0,0.091815822,367.34398,1
SA.F1.180914.C1.9,18/09/2014,261,2014,September,Late,55.5401,-5.102533333,1,1,3,3,Pebble,10.2,11:03,12:06,01:03,3780,0.32,0.35,0.04,0,0,0,0.076158598,282.8114289,3
SA.F1.260814.C1.1,26/08/2014,238,2014,August,Late,55.54351667,-5.084633333,1,1,2,2,Gravel,18.7,08:42,09:44,01:02,3720,0.02,0.07,0.49,0.12,0,0,0.091815822,675.30866,4
SA.F1.260814.C1.11,26/08/2014,238,2014,August,Late,55.56268333,-5.094183333,1,1,2,2,Gravel,13.3,13:06,14:07,01:01,3660,0.07,0.14,0.26,0.13,0,0,0.104575753,211.7947304,4
SA.F1.260814.C1.6,26/08/2014,238,2014,August,Late,55.53815,-5.087083333,1,1,2,2,Gravel,21.3,10:13,11:22,01:09,4140,0.04,0.3,0.4,0,0,0,0.095001355,180.5914049,3
SA.F1.260814.C1.7,26/08/2014,238,2014,August,Late,55.54488333,-5.074433333,1,1,1,1,Sand,21,11:35,12:26,00:51,3060,0,0.02,0.15,0.43,0,0,0.115753777,729.1886546,3
SA.F1.270814.C2.12,27/08/2014,239,2014,August,Late,55.5194,-5.05915,1,1,3,2,Pebble,15.6,12:29,13:30,01:01,3660,0.18,0.23,0.23,0,0,0,0.14705193,106.8563485,3
SA.F1.270814.C2.3,27/08/2014,239,2014,August,Late,55.47023333,-5.069783333,2,1,1,1,Mud,29.2,08:00,09:10,01:10,4200,0,0,0.03,0,0.38,0,0.15830569,768.3665376,2
SA.F1.270814.C2.4,27/08/2014,239,2014,August,Late,55.47321667,-5.073233333,2,1,1,1,Mud,30.9,09:15,10:16,01:01,3660,0,0.03,0,0,0.38,0,0.122990653,713.717655,2
