Station,Date,Calday,Year,Month,Season,Latitude,Longitude,Zone,Frame,Vis,FOV.Bias,Habitat,Depth,Time.In,Time.Out,Total.bott,Time.secs.,Algae,Pebble,Gravel,Sand,Mud,Seagrass,mean_velocity,dist,site_heterogeneity
SA.C7.260813.F3.2,26/08/2013,238,2013,August,Late,55.4875,-5.33965,5,3,2,3,Algae,12,08:46,09:48,01:02:00,3720,0.82,0,0,0,0,0,0.114943609,701.9456307,1
SA.F1.010714.C3.10,01/07/2014,182,2014,July,Early,55.43171667,-5.097433333,3,1,2,3,Algae,16.6,14:09,15:11,01:02:00,3720,0.58,0,0,0,0,0,0.209127039,1088.378317,1
SA.F1.010714.C3.3,01/07/2014,182,2014,July,Early,55.43226667,-5.156066667,3,1,2,2,Gravel,18.9,10:06,11:28,01:22:00,4920,0.03,0.16,0.28,0,0,0,0.145086855,764.5456597,3
SA.F1.010714.C3.6,01/07/2014,182,2014,July,Early,55.4337,-5.14845,3,1,2,2,Pebble,19.4,11:37,12:32,00:55:00,3300,0,0.27,0.24,0,0,0,0.132639945,902.3956488,2
SA.F1.010714.C3.7,01/07/2014,182,2014,July,Early,55.42545,-5.108966667,3,1,1,2,Sand,29.9,11:37,12:32,00:55:00,3300,0,0.12,0.03,0.42,0,0,0.261959761,330.2368385,3
SA.F1.010814.C1.12,01/08/2014,213,2014,August,Late,55.5368,-5.061616667,1,3,3,3,Algae,29.5,12:45,13:35,00:50,3000,0.82,0,0,0,0,0,0.117025748,826.0486835,1
SA.F1.010814.C1.3,01/08/2014,213,2014,August,Late,55.55123333,-5.079916667,1,1,2,2,Gravel,17.6,08:19,09:25,01:06,3960,0.08,0.24,0.41,0,0,0,0.129333541,97.40976407,3
SA.F1.010814.C1.6,01/08/2014,213,2014,August,Late,55.53823333,-5.0913,1,1,2,3,Gravel,25.9,10:49,11:55,01:06,3960,0.13,0.12,0.41,0.09,0,0,0.087764733,278.344836,4
SA.F1.010814.C1.9,01/08/2014,213,2014,August,Late,55.53956667,-5.078316667,1,1,3,3,Algae,7.4,11:20,12:26,01:06,3960,0.7,0.06,0.08,0,0,0,0.075320467,246.2037315,3
SA.F1.010914.C3.11,01/09/2014,244,2014,September,Late,55.42971667,-5.13575,3,1,2,2,Gravel,20.2,14:23,15:26,01:03,3780,0,0.06,0.55,0,0,0,0.182377562,845.3550389,2
SA.F1.010914.C4.1,01/09/2014,244,2014,September,Late,55.42756667,-5.20395,4,1,2,2,Gravel,17.7,09:56,10:57,01:01,3660,0.07,0.2,0.29,0,0,0,0.140900612,688.3249923,3
SA.F1.010914.C4.6,01/09/2014,244,2014,September,Late,55.4319,-5.1766,4,1,3,3,Algae,12.9,11:29,12:41,01:12,4320,0.8,0,0,0,0,0,0.159782365,267.9437279,1
SA.F1.010914.C4.8,01/09/2014,244,2014,September,Late,55.4198,-5.1856,4,1,1,1,Mud,36.7,12:51,13:53,01:02,3720,0,0,0,0,0.41,0,0.174654141,1552.90287,1
SA.F1.020914.C3.11,02/09/2014,245,2014,September,Late,55.45291667,-5.082766667,3,1,2,3,Sand,11.2,12:22,13:27,01:05,3900,0.19,0,0,0.52,0,0,0.136970058,93.73963237,2
SA.F1.020914.C3.2,02/09/2014,245,2014,September,Late,55.43398333,-5.113333333,3,1,3,3,Algae,6.1,08:13,09:20,01:07,4020,0.58,0,0.18,0,0,0,0.239972621,426.4028278,2
SA.F1.020914.C3.6,02/09/2014,245,2014,September,Late,55.43596667,-5.086566667,3,1,1,1,Sand,35.7,09:42,10:43,01:01,3660,0,0,0,0.37,0,0,0.197566256,1155.00655,1
SA.F1.020914.C3.7,02/09/2014,245,2014,September,Late,55.43925,-5.078416667,3,1,1,1,Mud,47.2,10:54,11:55,01:01,3660,0,0,0,0,0.48,0,0.195190847,1384.055057,1
SA.F1.030714.C1.11,03/07/2014,184,2014,July,Early,55.53695,-5.09775,1,1,1,2,Mud,30.4,12:40,13:46,01:06,3960,0,0,0,0,0.36,0,0.081181459,559.6053218,1
SA.F1.030714.C1.2,03/07/2014,184,2014,July,Early,55.55808333,-5.079016667,1,1,1,2,Mud,34.2,08:29,09:34,01:05:00,3900,0,0,0,0,0.56,0,0.13156572,530.3424997,1
SA.F1.030714.C1.5,03/07/2014,184,2014,July,Early,55.55333333,-5.07745,1,1,1,2,Mud,32.8,09:45,10:45,01:00:00,3600,0,0.09,0,0,0.47,0,0.129333541,303.4830602,2
SA.F1.070714.C1.11,07/07/2014,188,2014,July,Early,55.5303,-5.069116667,1,1,2,2,Pebble,22,14:07,15:08,01:01,3660,0,0.29,0.22,0,0,0,0.113136485,62.04084775,2
SA.F1.070714.C2.2,07/07/2014,188,2014,July,Early,55.48388333,-5.088416667,2,1,2,2,Sand,6.1,09:20,10:40,01:20,4800,0,0,0,0.57,0,0,0.060321964,140.3357858,1
SA.F1.070714.C2.5,07/07/2014,188,2014,July,Early,55.47918333,-5.08435,2,1,2,3,Sand,4.1,10:55,12:00,01:05,3900,0.03,0,0,0.71,0,0,0.083725341,130.1366639,2
SA.F1.070714.C2.8,07/07/2014,188,2014,July,Early,55.50488333,-5.069566667,2,1,1,2,Gravel,19.8,12:29,13:34,01:05,3900,0,0.16,0.42,0,0,0,0.09331046,618.5237392,2
SA.F1.150914.C3.12,15/09/2014,258,2014,September,Late,55.43568333,-5.10775,3,1,3,3,Pebble,10.4,13:59,15:04,01:05,3900,0.26,0.34,0.25,0,0,0,0.185098171,491.342413,3
SA.F1.150914.C3.3,15/09/2014,258,2014,September,Late,55.42665,-5.1058,3,1,1,2,Sand,27.2,09:30,10:39,01:09,4140,0,0.08,0.08,0.42,0,0,0.261959761,534.9244908,3
SA.F1.150914.C4.4,15/09/2014,258,2014,September,Late,55.42741667,-5.125633333,3,1,3,3,Algae,8.3,10:53,12:00,01:07,4020,0.7,0.17,0,0,0,0,0.284051389,163.3916778,2
SA.F1.150914.C4.8,15/09/2014,258,2014,September,Late,55.43465,-5.1439,3,1,2,2,Gravel,15.5,12:21,13:28,01:07,4020,0.04,0.03,0.52,0,0,0,0.140080199,805.9849038,3
SA.F1.160914.C4.1,16/09/2014,259,2014,September,Late,55.42025,-5.225316667,4,1,1,2,Mud,35.2,08:42,09:44,01:02,3720,0,0,0,0,0.53,0,0.131363153,1751.000273,1
SA.F1.160914.C4.12,16/09/2014,259,2014,September,Late,55.44191667,-5.084516667,3,1,1,2,Sand,37.6,13:32,14:33,01:01,3660,0.02,0,0,0.6,0,0,0.188277587,917.236084,2
